Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSMUSG00000105776	ENSMUSG00000105776.1	6	70883354	70885802	Gm43292
ENSMUSG00000083017	ENSMUSG00000083017.1	11	45813604	45813992	Gm12163
ENSMUSG00000103782	ENSMUSG00000103782.1	Y	18293525	18295111	Gm37656
ENSMUSG00000086134	ENSMUSG00000086134.1	8	25548661	25556083	Gm16159
ENSMUSG00000081251	ENSMUSG00000081251.1	11	45829319	45829869	Gm12164
ENSMUSG00000087517	ENSMUSG00000087517.1	4	91938854	91939952	4930577H14Rik
ENSMUSG00000086686	ENSMUSG00000086686.1	11	45808087	45841171	F630206G17Rik
ENSMUSG00000043411	ENSMUSG00000043411.15	4	137593755	137658537	Usp48
ENSMUSG00000025967	ENSMUSG00000025967.16	1	63176825	63180486	Eef1b2
ENSMUSG00000082951	ENSMUSG00000082951.1	2	26722387	26723081	Gm13359
ENSMUSG00000103640	ENSMUSG00000103640.1	1	193040973	193042405	Gm31406
ENSMUSG00000090194	ENSMUSG00000090194.1	6	113275837	113276930	Gm16161
ENSMUSG00000083366	ENSMUSG00000083366.1	X	59866697	59867753	Gm14887
ENSMUSG00000024854	ENSMUSG00000024854.4	19	4231899	4233634	Pold4
ENSMUSG00000112693	ENSMUSG00000112693.1	19	12905320	12906841	Gm5512
ENSMUSG00000115916	ENSMUSG00000115916.1	15	88980021	88980414	Gm8702
ENSMUSG00000101348	ENSMUSG00000101348.6	1	97346475	97573015	Gm7135
ENSMUSG00000102442	ENSMUSG00000102442.1	1	193052500	193052614	Gm37103
ENSMUSG00000087541	ENSMUSG00000087541.1	5	77094532	77102303	Hopxos
ENSMUSG00000064254	ENSMUSG00000064254.6	7	24587543	24608925	Ethe1
ENSMUSG00000115585	ENSMUSG00000115585.1	15	11696810	11703703	Gm41271
ENSMUSG00000059325	ENSMUSG00000059325.14	5	77086988	77115121	Hopx
ENSMUSG00000082195	ENSMUSG00000082195.3	4	146067752	146070928	Gm13034
ENSMUSG00000039531	ENSMUSG00000039531.8	10	33919142	33951269	Zup1
ENSMUSG00000027832	ENSMUSG00000027832.5	3	66219910	66225805	Ptx3
ENSMUSG00000103179	ENSMUSG00000103179.1	1	97544264	97545448	Gm37171
ENSMUSG00000081774	ENSMUSG00000081774.1	2	102209412	102210379	Gm13866
ENSMUSG00000028415	ENSMUSG00000028415.4	4	40920052	40931395	Spink4
ENSMUSG00000083733	ENSMUSG00000083733.3	4	146073257	146073598	Gm13035
ENSMUSG00000027787	ENSMUSG00000027787.14	3	69721985	69756373	Nmd3
ENSMUSG00000027189	ENSMUSG00000027189.16	2	102300119	102407828	Trim44
ENSMUSG00000104307	ENSMUSG00000104307.1	3	66099805	66100063	Gm36973
ENSMUSG00000109568	ENSMUSG00000109568.1	8	8637966	8639205	Gm45074
ENSMUSG00000117873	ENSMUSG00000117873.1	19	4214357	4233297	Gm45928
ENSMUSG00000104189	ENSMUSG00000104189.1	3	66086684	66087792	Gm37822
ENSMUSG00000027831	ENSMUSG00000027831.9	3	66053558	66296837	Veph1
ENSMUSG00000109426	ENSMUSG00000109426.2	7	108417104	108418018	Olfr496-ps1
ENSMUSG00000114585	ENSMUSG00000114585.1	13	41487130	41544567	Gm32401
ENSMUSG00000034863	ENSMUSG00000034863.9	8	71476019	71485963	Ano8
ENSMUSG00000105188	ENSMUSG00000105188.1	5	108154245	108154830	Gm8190
ENSMUSG00000040663	ENSMUSG00000040663.9	19	4214238	4223490	Clcf1
ENSMUSG00000114914	ENSMUSG00000114914.1	13	41379956	41384725	Gm48571
ENSMUSG00000066721	ENSMUSG00000066721.3	7	24583838	24587641	Zfp575
ENSMUSG00000114545	ENSMUSG00000114545.1	13	41543005	41559913	Gm32184
ENSMUSG00000048489	ENSMUSG00000048489.12	6	116650609	116652794	Depp1
ENSMUSG00000114537	ENSMUSG00000114537.1	13	41476526	41477900	Gm48569
ENSMUSG00000105591	ENSMUSG00000105591.1	5	108210959	108211434	Gm43083
ENSMUSG00000101230	ENSMUSG00000101230.1	Y	85955552	85956247	Gm21862
ENSMUSG00000092509	ENSMUSG00000092509.1	11	100349696	100350889	Gm20394
ENSMUSG00000097373	ENSMUSG00000097373.1	13	41359971	41370908	Gm26877
ENSMUSG00000079183	ENSMUSG00000079183.2	10	97724874	97726755	C030005K15Rik
ENSMUSG00000112994	ENSMUSG00000112994.1	12	18285572	18286534	Gm46312
ENSMUSG00000114552	ENSMUSG00000114552.1	13	41402291	41403353	Gm48570
ENSMUSG00000019936	ENSMUSG00000019936.10	10	97644068	97682454	Epyc
ENSMUSG00000006930	ENSMUSG00000006930.15	11	100347327	100356128	Hap1
ENSMUSG00000083836	ENSMUSG00000083836.1	4	119334389	119335445	Ldha-ps2
ENSMUSG00000021365	ENSMUSG00000021365.15	13	41309581	41487362	Nedd9
ENSMUSG00000105554	ENSMUSG00000105554.1	5	108145226	108146907	Gm7118
ENSMUSG00000116219	ENSMUSG00000116219.1	15	82545538	82548652	Gm28023
ENSMUSG00000113592	ENSMUSG00000113592.1	12	18332873	18339043	Gm7093
ENSMUSG00000118403	ENSMUSG00000118403.1	4	119393500	119399924	BX470216.1
ENSMUSG00000082036	ENSMUSG00000082036.1	6	29960993	29962147	Gm13724
ENSMUSG00000085069	ENSMUSG00000085069.2	4	154637576	154644724	Prdm16os
ENSMUSG00000028637	ENSMUSG00000028637.16	4	119322466	119415521	Ccdc30
ENSMUSG00000083961	ENSMUSG00000083961.1	6	29963644	29963850	Gm13725
ENSMUSG00000083306	ENSMUSG00000083306.1	2	102311914	102312207	Gm13868
ENSMUSG00000098424	ENSMUSG00000098424.1	4	154645083	154645701	Gm27202
ENSMUSG00000108154	ENSMUSG00000108154.1	6	113718584	113719278	Gm44033
ENSMUSG00000045709	ENSMUSG00000045709.11	6	29985235	29993778	Smkr-ps
ENSMUSG00000086810	ENSMUSG00000086810.1	4	154645754	154655318	Gm13110
ENSMUSG00000066009	ENSMUSG00000066009.8	4	146097298	146126621	Zfp987
ENSMUSG00000042129	ENSMUSG00000042129.8	6	116633008	116673952	Rassf4
ENSMUSG00000025993	ENSMUSG00000025993.10	1	45908068	45926523	Slc40a1
ENSMUSG00000100283	ENSMUSG00000100283.1	Y	36905314	36906009	Gm29024
ENSMUSG00000099832	ENSMUSG00000099832.1	Y	36935944	36939282	Gm29025
ENSMUSG00000086468	ENSMUSG00000086468.1	11	17953970	17959578	Etaa1os
ENSMUSG00000084203	ENSMUSG00000084203.1	6	18144734	18145741	Gm15593
ENSMUSG00000009075	ENSMUSG00000009075.2	11	4736892	4746778	Cabp7
ENSMUSG00000028354	ENSMUSG00000028354.13	1	174501825	174822729	Fmn2
ENSMUSG00000101246	ENSMUSG00000101246.1	Y	36940688	36941002	Gm29026
ENSMUSG00000101382	ENSMUSG00000101382.1	Y	37071087	37071701	Gm28213
ENSMUSG00000099967	ENSMUSG00000099967.1	Y	37082811	37084351	Gm28212
ENSMUSG00000117547	ENSMUSG00000117547.1	18	3015908	3016159	Gm50072
ENSMUSG00000100394	ENSMUSG00000100394.1	1	152878520	152880298	Gm28791
ENSMUSG00000047822	ENSMUSG00000047822.8	9	21835510	21837347	Angptl8
ENSMUSG00000031170	ENSMUSG00000031170.14	X	8271133	8280179	Slc38a5
ENSMUSG00000095170	ENSMUSG00000095170.2	12	115567149	115567591	Ighv8-11
ENSMUSG00000009076	ENSMUSG00000009076.10	11	4704678	4737669	Zmat5
ENSMUSG00000106283	ENSMUSG00000106283.1	12	115590423	115591196	Rpl7a-ps2
ENSMUSG00000095519	ENSMUSG00000095519.2	12	115593110	115593591	Ighv1-66
ENSMUSG00000020428	ENSMUSG00000020428.13	11	42306437	42321072	Gabra6
ENSMUSG00000095863	ENSMUSG00000095863.2	12	115603940	115604376	Ighv1-67
ENSMUSG00000037075	ENSMUSG00000037075.7	15	58889229	58907057	Rnf139
ENSMUSG00000105582	ENSMUSG00000105582.1	12	115611340	115611633	Ighv1-68
ENSMUSG00000089790	ENSMUSG00000089790.1	1	164166579	164166933	Gm16588
ENSMUSG00000026580	ENSMUSG00000026580.16	1	164115264	164150026	Selp
ENSMUSG00000032198	ENSMUSG00000032198.9	9	21799860	21852635	Dock6
ENSMUSG00000106420	ENSMUSG00000106420.1	12	115616807	115617789	Gm9245
ENSMUSG00000111947	ENSMUSG00000111947.1	10	128081354	128082970	Gm47438
ENSMUSG00000074776	ENSMUSG00000074776.4	10	97681414	97967090	Gm10754
ENSMUSG00000106077	ENSMUSG00000106077.1	12	115615673	115616821	Gm5660
ENSMUSG00000022354	ENSMUSG00000022354.4	15	58933756	58939488	Ndufb9
ENSMUSG00000114189	ENSMUSG00000114189.1	13	19462847	19504367	9330199G10Rik
ENSMUSG00000103840	ENSMUSG00000103840.1	1	152936604	152937041	1700040K01Rik
ENSMUSG00000022686	ENSMUSG00000022686.14	16	19760208	19772753	B3gnt5
ENSMUSG00000047025	ENSMUSG00000047025.5	10	97693059	97694923	Ccer1
ENSMUSG00000008813	ENSMUSG00000008813.13	14	51918425	51920700	Tppp2
ENSMUSG00000112497	ENSMUSG00000112497.1	10	97714772	97753702	4930525C09Rik
ENSMUSG00000113251	ENSMUSG00000113251.1	13	19525987	19526716	Gm18363
ENSMUSG00000114974	ENSMUSG00000114974.1	14	45090615	45091900	Gm21010
ENSMUSG00000097952	ENSMUSG00000097952.1	7	32791496	32792487	Gm4398
ENSMUSG00000103208	ENSMUSG00000103208.1	3	66191093	66191245	Gm37330
ENSMUSG00000115735	ENSMUSG00000115735.1	14	45056497	45102094	Gm49180
ENSMUSG00000097968	ENSMUSG00000097968.1	3	66128968	66129723	Tpi-rs2
ENSMUSG00000081429	ENSMUSG00000081429.1	1	63073774	63074019	Rps27-ps1
ENSMUSG00000027285	ENSMUSG00000027285.13	2	120609383	120621560	Haus2
ENSMUSG00000099549	ENSMUSG00000099549.1	7	32806135	32806273	Gm29432
ENSMUSG00000104050	ENSMUSG00000104050.1	Y	18321027	18322074	Gm38127
ENSMUSG00000101599	ENSMUSG00000101599.1	1	63117118	63126837	Gm20342
ENSMUSG00000002808	ENSMUSG00000002808.7	13	19591706	19619927	Epdr1
ENSMUSG00000024235	ENSMUSG00000024235.11	18	4331327	4353015	Map3k8
ENSMUSG00000085039	ENSMUSG00000085039.2	7	3632114	3644887	Gm15927
ENSMUSG00000000093	ENSMUSG00000000093.6	11	85832551	85841948	Tbx2
ENSMUSG00000031150	ENSMUSG00000031150.13	X	7731714	7750905	Ccdc120
ENSMUSG00000019132	ENSMUSG00000019132.11	13	24801657	24816197	BC005537
ENSMUSG00000003662	ENSMUSG00000003662.10	2	127240938	127247816	Ciao1
ENSMUSG00000019942	ENSMUSG00000019942.13	10	69335146	69352938	Cdk1
ENSMUSG00000061816	ENSMUSG00000061816.15	1	66924295	66945404	Myl1
ENSMUSG00000028403	ENSMUSG00000028403.15	4	82798738	82859958	Zdhhc21
ENSMUSG00000029763	ENSMUSG00000029763.17	6	33249085	33973979	Exoc4
ENSMUSG00000022432	ENSMUSG00000022432.7	15	85064689	85131964	Smc1b
ENSMUSG00000005952	ENSMUSG00000005952.15	11	73234292	73261242	Trpv1
ENSMUSG00000024913	ENSMUSG00000024913.16	19	3584828	3686564	Lrp5
ENSMUSG00000026579	ENSMUSG00000026579.8	1	164151838	164220277	F5
ENSMUSG00000016181	ENSMUSG00000016181.9	1	193091104	193130272	Utp25
ENSMUSG00000058440	ENSMUSG00000058440.14	6	30047988	30153458	Nrf1
ENSMUSG00000061619	ENSMUSG00000061619.3	4	52496939	52497244	Vma21-ps
ENSMUSG00000015787	ENSMUSG00000015787.15	2	26842503	26864979	Abo
ENSMUSG00000032899	ENSMUSG00000032899.14	6	131299142	131353597	Styk1
ENSMUSG00000082933	ENSMUSG00000082933.1	X	98483790	98483906	Gm14811
ENSMUSG00000108371	ENSMUSG00000108371.1	6	72162849	72167707	Gm38832
ENSMUSG00000013593	ENSMUSG00000013593.12	1	171234853	171251388	Ndufs2
ENSMUSG00000081397	ENSMUSG00000081397.1	X	98513900	98514387	Gm14815
ENSMUSG00000083603	ENSMUSG00000083603.1	X	98544397	98544882	Gm14810
ENSMUSG00000037621	ENSMUSG00000037621.8	6	72206177	72235577	Atoh8
ENSMUSG00000074247	ENSMUSG00000074247.10	8	71469199	71476098	Dda1
ENSMUSG00000054162	ENSMUSG00000054162.15	8	62951009	63357103	Spock3
ENSMUSG00000084041	ENSMUSG00000084041.1	8	21592341	21592611	Gm15312
ENSMUSG00000073482	ENSMUSG00000073482.2	1	182408264	182409021	Gm10517
ENSMUSG00000115814	ENSMUSG00000115814.1	14	45113704	45114112	Gm49181
ENSMUSG00000068392	ENSMUSG00000068392.3	14	51921362	51922773	Rnase13
ENSMUSG00000043461	ENSMUSG00000043461.13	3	69819542	69859940	Sptssb
ENSMUSG00000051276	ENSMUSG00000051276.4	4	154666433	154667867	Actrt2
ENSMUSG00000108838	ENSMUSG00000108838.1	7	59109139	59109501	Gm45189
ENSMUSG00000079113	ENSMUSG00000079113.3	8	21593375	21594508	Gm7861
ENSMUSG00000081348	ENSMUSG00000081348.1	2	103810886	103811617	Gm13878
ENSMUSG00000085858	ENSMUSG00000085858.1	5	77116810	77122348	Gm15831
ENSMUSG00000081010	ENSMUSG00000081010.3	2	103819003	103819476	Gm13880
ENSMUSG00000106783	ENSMUSG00000106783.1	5	77138471	77140252	Chaer1
ENSMUSG00000050069	ENSMUSG00000050069.3	1	174833785	174921819	Grem2
ENSMUSG00000115698	ENSMUSG00000115698.1	14	51926264	51929660	Gm49076
ENSMUSG00000066268	ENSMUSG00000066268.6	7	103118403	103125638	Olfr586
ENSMUSG00000036962	ENSMUSG00000036962.12	1	119923341	119997234	Cfap221
ENSMUSG00000104846	ENSMUSG00000104846.1	5	43353047	43355259	Gm43020
ENSMUSG00000107674	ENSMUSG00000107674.1	6	107503808	107504456	Gm44277
ENSMUSG00000107244	ENSMUSG00000107244.1	5	43376447	43379637	Gm43699
ENSMUSG00000115216	ENSMUSG00000115216.1	14	45114401	45114708	Gm49183
ENSMUSG00000115054	ENSMUSG00000115054.1	14	45130034	45130384	Gm49184
ENSMUSG00000053030	ENSMUSG00000053030.11	5	77205107	77211471	Spink2
ENSMUSG00000078289	ENSMUSG00000078289.2	15	85116870	85117287	Gm10923
ENSMUSG00000086593	ENSMUSG00000086593.2	1	164148591	164152217	Gm16548
ENSMUSG00000099946	ENSMUSG00000099946.1	1	45971182	45976975	Gm9496
ENSMUSG00000059995	ENSMUSG00000059995.12	11	102289300	102296631	Atxn7l3
ENSMUSG00000083495	ENSMUSG00000083495.1	2	103837101	103837517	Gm13877
ENSMUSG00000090081	ENSMUSG00000090081.1	1	164143432	164146366	Gm16587
ENSMUSG00000053216	ENSMUSG00000053216.15	13	23477676	23488857	Btn2a2
ENSMUSG00000081275	ENSMUSG00000081275.1	2	103838954	103839235	Gm13875
ENSMUSG00000031138	ENSMUSG00000031138.4	X	59999464	60030759	F9
ENSMUSG00000025782	ENSMUSG00000025782.12	2	9914552	10048596	Taf3
ENSMUSG00000093774	ENSMUSG00000093774.1	18	3026901	3027882	Vmn1r-ps151
ENSMUSG00000109422	ENSMUSG00000109422.1	7	84554187	84557251	Gm45174
ENSMUSG00000000290	ENSMUSG00000000290.13	10	77530252	77565708	Itgb2
ENSMUSG00000082845	ENSMUSG00000082845.1	2	103843415	103843656	Gm13879
ENSMUSG00000109513	ENSMUSG00000109513.1	7	84575715	84575842	Gm44928
ENSMUSG00000083643	ENSMUSG00000083643.1	2	103888324	103888584	Gm13876
ENSMUSG00000093444	ENSMUSG00000093444.1	18	3080778	3081476	Vmn1r-ps152
ENSMUSG00000097789	ENSMUSG00000097789.2	7	84528954	84583531	Gm2115
ENSMUSG00000117531	ENSMUSG00000117531.1	18	3105167	3105396	Gm50073
ENSMUSG00000084756	ENSMUSG00000084756.1	2	103912024	103918960	Gm13881
ENSMUSG00000091539	ENSMUSG00000091539.2	18	3122492	3123412	Vmn1r238
ENSMUSG00000009555	ENSMUSG00000009555.16	2	32705784	32713076	Cdk9
ENSMUSG00000012443	ENSMUSG00000012443.4	19	37376403	37421859	Kif11
ENSMUSG00000099821	ENSMUSG00000099821.1	7	32806369	32806831	Gm28408
ENSMUSG00000044362	ENSMUSG00000044362.8	7	90426577	90428669	Ccdc89
ENSMUSG00000117353	ENSMUSG00000117353.1	18	3139032	3139305	Gm50074
ENSMUSG00000034850	ENSMUSG00000034850.15	2	127247908	127261107	Tmem127
ENSMUSG00000117464	ENSMUSG00000117464.1	18	3171447	3171932	Gm50075
ENSMUSG00000097972	ENSMUSG00000097972.1	7	32827683	32829662	Scgb2b15
ENSMUSG00000070896	ENSMUSG00000070896.2	1	45981548	45982012	Rpl23a-ps1
ENSMUSG00000100702	ENSMUSG00000100702.1	1	152949395	152950097	Gm8976
ENSMUSG00000035517	ENSMUSG00000035517.17	4	45965334	46034761	Tdrd7
ENSMUSG00000069785	ENSMUSG00000069785.4	11	85846790	85850333	Gm11444
ENSMUSG00000038077	ENSMUSG00000038077.7	6	126708329	126740674	Kcna6
ENSMUSG00000028314	ENSMUSG00000028314.6	4	52596274	52612430	Toporsl
ENSMUSG00000092245	ENSMUSG00000092245.1	1	119986795	119987314	Gm17973
ENSMUSG00000094502	ENSMUSG00000094502.5	12	115623161	115623595	Ighv1-69
ENSMUSG00000081270	ENSMUSG00000081270.1	11	105875905	105876913	Gm11653
ENSMUSG00000086654	ENSMUSG00000086654.1	4	146167522	146205732	Gm13165
ENSMUSG00000083465	ENSMUSG00000083465.1	11	105773518	105774784	Gm11652
ENSMUSG00000101232	ENSMUSG00000101232.1	7	32836554	32837870	Scgb1b15
ENSMUSG00000081522	ENSMUSG00000081522.1	4	146178124	146178766	Gm13170
ENSMUSG00000053580	ENSMUSG00000053580.16	11	105589986	105929304	Tanc2
ENSMUSG00000066007	ENSMUSG00000066007.15	4	146156824	146198755	Zfp600
ENSMUSG00000030889	ENSMUSG00000030889.14	7	120739318	120805742	Vwa3a
ENSMUSG00000085863	ENSMUSG00000085863.1	4	101284221	101285203	Gm12801
ENSMUSG00000048456	ENSMUSG00000048456.3	19	12916661	12924419	Olfr1448
ENSMUSG00000028861	ENSMUSG00000028861.13	4	126046925	126055532	Mrps15
ENSMUSG00000097596	ENSMUSG00000097596.1	6	126718684	126741601	Gm26673
ENSMUSG00000076731	ENSMUSG00000076731.3	12	115647945	115648387	Ighv8-12
ENSMUSG00000028533	ENSMUSG00000028533.10	4	92144329	92147234	Izumo3
ENSMUSG00000100443	ENSMUSG00000100443.1	7	32874544	32876689	Scgb2b16-ps
ENSMUSG00000062352	ENSMUSG00000062352.14	12	21240825	21286284	Itgb1bp1
ENSMUSG00000085721	ENSMUSG00000085721.1	4	101292414	101321745	Gm12796
ENSMUSG00000105737	ENSMUSG00000105737.1	12	115659013	115659636	Gm6105
ENSMUSG00000118420	ENSMUSG00000118420.1	6	126792449	126810644	AC124756.1
ENSMUSG00000101185	ENSMUSG00000101185.1	7	32883655	32884048	Scgb1b16-ps
ENSMUSG00000075140	ENSMUSG00000075140.4	2	88032288	88037699	Olfr73
ENSMUSG00000108559	ENSMUSG00000108559.1	12	115688840	115688889	Gm44782
ENSMUSG00000060510	ENSMUSG00000060510.14	9	20495068	20521417	Zfp266
ENSMUSG00000081621	ENSMUSG00000081621.1	4	101341357	101341648	Gm12793
ENSMUSG00000047286	ENSMUSG00000047286.7	8	83535780	83545227	Olfr370
ENSMUSG00000024906	ENSMUSG00000024906.10	19	5482345	5488402	Mus81
ENSMUSG00000113282	ENSMUSG00000113282.1	12	112204701	112205153	Gm20368
ENSMUSG00000040969	ENSMUSG00000040969.14	3	133112278	133234949	Arhgef38
ENSMUSG00000046637	ENSMUSG00000046637.3	4	154837459	154867127	Ttc34
ENSMUSG00000117988	ENSMUSG00000117988.1	19	37388407	37389352	Gm8663
ENSMUSG00000118211	ENSMUSG00000118211.1	19	37413442	37413847	Gm46649
ENSMUSG00000103080	ENSMUSG00000103080.1	12	112347289	112350067	Gm38123
ENSMUSG00000050103	ENSMUSG00000050103.18	12	37241641	37582202	Agmo
ENSMUSG00000113120	ENSMUSG00000113120.1	12	112391526	112405812	E330035G20Rik
ENSMUSG00000026878	ENSMUSG00000026878.17	2	35180205	35201120	Rab14
ENSMUSG00000046410	ENSMUSG00000046410.10	7	29221926	29232515	Kcnk6
ENSMUSG00000075012	ENSMUSG00000075012.4	2	102449366	102452499	Fjx1
ENSMUSG00000030595	ENSMUSG00000030595.15	7	28758251	28767512	Nfkbib
ENSMUSG00000101161	ENSMUSG00000101161.1	Y	37100609	37101304	Gm21799
ENSMUSG00000047828	ENSMUSG00000047828.4	12	112411023	112423212	A730018C14Rik
ENSMUSG00000100705	ENSMUSG00000100705.1	Y	37172530	37173225	Gm28227
ENSMUSG00000108902	ENSMUSG00000108902.1	7	59109920	59110542	Gm9377
ENSMUSG00000103280	ENSMUSG00000103280.1	1	4905751	4906861	Gm37277
ENSMUSG00000047603	ENSMUSG00000047603.9	7	24134169	24143241	Zfp235
ENSMUSG00000083315	ENSMUSG00000083315.1	4	21009880	21010940	Gm11871
ENSMUSG00000109308	ENSMUSG00000109308.1	7	59171529	59171914	Gm44743
ENSMUSG00000082289	ENSMUSG00000082289.1	6	18156337	18157120	Gm15596
ENSMUSG00000109332	ENSMUSG00000109332.1	7	59202391	59203802	Gm44742
ENSMUSG00000075534	ENSMUSG00000075534.5	2	9906178	9914678	Gm13262
ENSMUSG00000073293	ENSMUSG00000073293.4	X	6168696	6173015	Nudt10
ENSMUSG00000083654	ENSMUSG00000083654.1	4	21626380	21627178	Gm11875
ENSMUSG00000051896	ENSMUSG00000051896.4	6	70913087	70918927	Tex37
ENSMUSG00000087437	ENSMUSG00000087437.7	4	154864506	154872003	Gm13112
ENSMUSG00000038192	ENSMUSG00000038192.5	4	82881751	82885148	Cer1
ENSMUSG00000103570	ENSMUSG00000103570.1	2	10047838	10049519	C630004M23Rik
ENSMUSG00000020475	ENSMUSG00000020475.3	11	5801640	5803733	Pgam2
ENSMUSG00000075139	ENSMUSG00000075139.3	2	88045920	88051129	Olfr1162
ENSMUSG00000102264	ENSMUSG00000102264.1	Y	18496225	18526495	Gm30638
ENSMUSG00000112105	ENSMUSG00000112105.1	12	3521922	3523268	Rps7-ps2
ENSMUSG00000111266	ENSMUSG00000111266.1	10	4206426	4213114	Gm30570
ENSMUSG00000103871	ENSMUSG00000103871.1	Y	18557838	18558876	Gm38361
ENSMUSG00000039242	ENSMUSG00000039242.10	13	13954469	13999103	B3galnt2
ENSMUSG00000104356	ENSMUSG00000104356.1	Y	18586095	18586790	Gm31260
ENSMUSG00000020873	ENSMUSG00000020873.15	11	95384692	95391776	Slc35b1
ENSMUSG00000036463	ENSMUSG00000036463.8	6	65952609	65954014	4930544G11Rik
ENSMUSG00000066107	ENSMUSG00000066107.6	4	92190744	92191749	Gm12666
ENSMUSG00000113189	ENSMUSG00000113189.1	12	112428284	112435338	B020018J22Rik
ENSMUSG00000103802	ENSMUSG00000103802.1	Y	18623067	18623762	Gm21660
ENSMUSG00000029059	ENSMUSG00000029059.9	4	154895504	154899135	Prxl2b
ENSMUSG00000025393	ENSMUSG00000025393.12	10	128083273	128090391	Atp5b
ENSMUSG00000024790	ENSMUSG00000024790.8	19	6116000	6118650	Sac3d1
ENSMUSG00000104472	ENSMUSG00000104472.1	Y	18629784	18633125	Gm38209
ENSMUSG00000102353	ENSMUSG00000102353.1	19	37432909	37434656	Gm38345
ENSMUSG00000066324	ENSMUSG00000066324.2	4	4762484	4793355	Impad1
ENSMUSG00000106601	ENSMUSG00000106601.1	12	115691889	115692322	Ighv1-70
ENSMUSG00000103347	ENSMUSG00000103347.1	Y	18665417	18667781	Gm37734
ENSMUSG00000107649	ENSMUSG00000107649.1	6	65981866	65983441	Gm44404
ENSMUSG00000094191	ENSMUSG00000094191.1	1	66948563	66948940	Rpl31-ps14
ENSMUSG00000104407	ENSMUSG00000104407.5	Y	18693357	18696591	Gm38013
ENSMUSG00000003575	ENSMUSG00000003575.13	8	70382355	70439579	Crtc1
ENSMUSG00000100251	ENSMUSG00000100251.1	Y	74078103	74078799	Gm29615
ENSMUSG00000082617	ENSMUSG00000082617.3	X	7752130	7752414	Smt3h2-ps
ENSMUSG00000055874	ENSMUSG00000055874.6	6	70956531	70961066	Foxi3
ENSMUSG00000103549	ENSMUSG00000103549.1	3	69954809	69955682	Gm17895
ENSMUSG00000024986	ENSMUSG00000024986.12	19	37434810	37440731	Hhex
ENSMUSG00000107368	ENSMUSG00000107368.1	6	126822377	126825177	1700018A23Rik
ENSMUSG00000101157	ENSMUSG00000101157.1	Y	37233420	37259603	Gm20905
ENSMUSG00000041014	ENSMUSG00000041014.17	14	38368952	39473088	Nrg3
ENSMUSG00000109830	ENSMUSG00000109830.1	7	13150477	13151581	Gm7965
ENSMUSG00000117718	ENSMUSG00000117718.1	19	4254031	4257651	1500032F14Rik
ENSMUSG00000030189	ENSMUSG00000030189.15	6	131364855	131388476	Ybx3
ENSMUSG00000102525	ENSMUSG00000102525.1	3	69963282	69963470	Gm37784
ENSMUSG00000108153	ENSMUSG00000108153.1	6	50967268	50967505	Gm44402
ENSMUSG00000115063	ENSMUSG00000115063.1	15	32619744	32623505	4930465K09Rik
ENSMUSG00000000399	ENSMUSG00000000399.10	6	126821721	126849136	Ndufa9
ENSMUSG00000102290	ENSMUSG00000102290.1	Y	18742471	18743166	Gm21678
ENSMUSG00000083296	ENSMUSG00000083296.1	4	92373051	92373348	Gm12638
ENSMUSG00000117623	ENSMUSG00000117623.1	3	66364539	66364626	Gm50014
ENSMUSG00000022231	ENSMUSG00000022231.10	15	32244810	32696341	Sema5a
ENSMUSG00000103612	ENSMUSG00000103612.1	Y	18749156	18752497	Gm37948
ENSMUSG00000107446	ENSMUSG00000107446.1	6	71105606	71106511	Gm43906
ENSMUSG00000102580	ENSMUSG00000102580.1	Y	18863519	18864085	Gm37442
ENSMUSG00000006403	ENSMUSG00000006403.13	1	171250421	171260637	Adamts4
ENSMUSG00000098177	ENSMUSG00000098177.1	15	3745892	3746875	Gm4823
ENSMUSG00000066148	ENSMUSG00000066148.3	4	62408797	62426990	Prpf4
ENSMUSG00000085209	ENSMUSG00000085209.1	4	92528551	92548304	Gm12637
ENSMUSG00000102273	ENSMUSG00000102273.5	Y	18933163	18935442	Gm34550
ENSMUSG00000115843	ENSMUSG00000115843.1	15	3929985	3930560	Gm17873
ENSMUSG00000095191	ENSMUSG00000095191.1	7	21843344	21844267	Gm5725
ENSMUSG00000096257	ENSMUSG00000096257.2	7	28756174	28758968	Ccer2
ENSMUSG00000081987	ENSMUSG00000081987.1	4	92970244	92970736	Gm12639
ENSMUSG00000024870	ENSMUSG00000024870.6	19	5099205	5107072	Rab1b
ENSMUSG00000031065	ENSMUSG00000031065.14	X	20687954	20699880	Cdk16
ENSMUSG00000058183	ENSMUSG00000058183.14	4	154869585	154895528	Mmel1
ENSMUSG00000102294	ENSMUSG00000102294.1	Y	18972545	18973072	Gm37544
ENSMUSG00000034648	ENSMUSG00000034648.9	6	107529768	107570214	Lrrn1
ENSMUSG00000031118	ENSMUSG00000031118.8	X	51968695	51972772	1700080O16Rik
ENSMUSG00000092229	ENSMUSG00000092229.3	12	21042959	21048327	Gm5977
ENSMUSG00000020074	ENSMUSG00000020074.7	10	62743928	62792286	Ccar1
ENSMUSG00000108100	ENSMUSG00000108100.1	6	65995637	65996330	Gm5876
ENSMUSG00000090370	ENSMUSG00000090370.4	12	20990538	21013056	Gm21989
ENSMUSG00000102299	ENSMUSG00000102299.1	1	155789124	155789358	Gm37539
